study,source,scan_id,crosscut,manual_code,manual_rep,groove_left_manual,groove_right_manual
houston-test,../conversion/Houston-Rescan/x3p//HTX-Group 1-Kit CU-KA Bullet 3 Land 2-Sneox1-20x-auto light left image +20 perc.-threshold 2-resolution 4-Allison Mark.x3p,KA-Bullet 3-Land 2,125,kr,1,525.0598546262395,1937.0783379625348
houston-test,../conversion/Houston-Rescan/x3p//HTX-Group 1-Kit CU-KA Bullet 3 Land 3-Sneox1-20x-auto light left image +20 perc.-threshold 2-resolution 4-Allison Mark.x3p,KA-Bullet 3-Land 3,50,kr,1,357.5992202498635,1755.5371318743285
houston-test,../conversion/Houston-Rescan/x3p//HTX-Group 1-Kit CU-KA Bullet 3 Land 4-Sneox1-20x-auto light left image +20 perc.-threshold 2-resolution 4-Allison Mark.x3p,KA-Bullet 3-Land 4,50,kr,1,349.31938148189636,1839.7798070431727
houston-test,../conversion/Houston-Rescan/x3p//HTX-Group 1-Kit CU-KA Bullet 3 Land 5-Sneox1-20x-auto light left image +20 perc.-threshold 2-resolution 4-Allison Mark.x3p,KA-Bullet 3-Land 5,50,kr,1,323.67819057741497,1809.6606479206748
houston-test,../conversion/Houston-Rescan/x3p//HTX-Group 1-Kit CU-KA Bullet 3 Land 6-Sneox1-20x-auto light left image +20 perc.-threshold 2-resolution 4-Allison Mark.x3p,KA-Bullet 3-Land 6,50,kr,1,475.24218286290153,1911.2741624952519
houston-test,../conversion/Houston-Rescan/x3p//HTX-Group 1-Kit CU-KB Bullet 1 Land 1-Sneox1-20x-auto light left image +20 perc.-threshold 2-resolution 4-Allison MarK.x3p,KB-Bullet 1-Land 1,50,kr,1,380.8151780346911,1814.923672548235
houston-test,../conversion/Houston-Rescan/x3p//HTX-Group 1-Kit CU-KB Bullet 1 Land 2-Sneox1-20x-auto light left image +20 perc.-threshold 2-resolution 4-Allison MarK.x3p,KB-Bullet 1-Land 2,50,kr,1,517.7107059287533,1909.5029513171833
houston-test,../conversion/Houston-Rescan/x3p//HTX-Group 1-Kit CU-KB Bullet 1 Land 3-Sneox1-20x-auto light left image +20 perc.-threshold 2-resolution 4-Allison MarK.x3p,KB-Bullet 1-Land 3,50,kr,1,448.1319489337757,1937.998220020884
houston-test,../conversion/Houston-Rescan/x3p//HTX-Group 1-Kit CU-KB Bullet 1 Land 4-Sneox1-20x-auto light left image +20 perc.-threshold 2-resolution 4-Allison MarK.x3p,KB-Bullet 1-Land 4,100,kr,1,425.9770216513114,1870.9615498110763
houston-test,../conversion/Houston-Rescan/x3p//HTX-Group 1-Kit CU-KB Bullet 1 Land 5-Sneox1-20x-auto light left image +20 perc.-threshold 2-resolution 4-Allison MarK.x3p,KB-Bullet 1-Land 5,50,kr,1,334.934823551528,1802.3015700069855
houston-test,../conversion/Houston-Rescan/x3p//HTX-Group 1-Kit CU-KB Bullet 1 Land 6-Sneox1-20x-auto light left image +20 perc.-threshold 2-resolution 4-Allison MarK.x3p,KB-Bullet 1-Land 6,250,kr,1,406.0612683357482,1781.2133770502053
houston-test,../conversion/Houston-Rescan/x3p//HTX-Group 1-Kit CU-KB Bullet 2 Land 1-Sneox1-20x-auto light left image +20 perc.-threshold 2-resolution 4-Allison Mark.x3p,KB-Bullet 2-Land 1,50,kr,1,449.86813519810477,1924.3558420834822
houston-test,../conversion/Houston-Rescan/x3p//HTX-Group 1-Kit CU-KB Bullet 2 Land 2-Sneox1-20x-auto light left image +20 perc.-threshold 2-resolution 4-Allison Mark.x3p,KB-Bullet 2-Land 2,50,kr,1,419.086453598459,1895.2490578076747
houston-test,../conversion/Houston-Rescan/x3p//HTX-Group 1-Kit CU-KB Bullet 2 Land 3-Sneox1-20x-auto light left image +20 perc.-threshold 2-resolution 4-Allison Mark.x3p,KB-Bullet 2-Land 3,50,kr,1,441.4598619605455,1851.972419915408
houston-test,../conversion/Houston-Rescan/x3p//HTX-Group 1-Kit CU-KB Bullet 2 Land 4-Sneox1-20x-auto light left image +20 perc.-threshold 2-resolution 4-Allison Mark.x3p,KB-Bullet 2-Land 4,50,kr,1,410.88482098819804,1851.2634873795496
houston-test,../conversion/Houston-Rescan/x3p//HTX-Group 1-Kit CU-KB Bullet 2 Land 5-Sneox1-20x-auto light left image +20 perc.-threshold 2-resolution 4-Allison Mark.x3p,KB-Bullet 2-Land 5,50,kr,1,445.0524709653035,1840.1796889011953
houston-test,../conversion/Houston-Rescan/x3p//HTX-Group 1-Kit CU-KB Bullet 2 Land 6-Sneox1-20x-auto light left image +20 perc.-threshold 2-resolution 4-Allison Mark.x3p,KB-Bullet 2-Land 6,50,kr,1,441.7227741819318,1930.195344360632
houston-test,../conversion/Houston-Rescan/x3p//HTX-Group 1-Kit CU-KB Bullet 3 Land 1-Sneox1-20x-auto light left image +20 perc.-threshold 2-resolution 4-Allison Mark.x3p,KB-Bullet 3-Land 1,150,kr,1,331.5326298833948,1791.9838078689988
houston-test,../conversion/Houston-Rescan/x3p//HTX-Group 1-Kit CU-KB Bullet 3 Land 2-Sneox1-20x-auto light left image +20 perc.-threshold 2-resolution 4-Allison Mark.x3p,KB-Bullet 3-Land 2,50,kr,1,423.7254685982122,1881.541277166306
houston-test,../conversion/Houston-Rescan/x3p//HTX-Group 1-Kit CU-KB Bullet 3 Land 3-Sneox1-20x-auto light left image +20 perc.-threshold 2-resolution 4-Allison Mark.x3p,KB-Bullet 3-Land 3,50,kr,1,342.86810433597867,1800.3603676308974
houston-test,../conversion/Houston-Rescan/x3p//HTX-Group 1-Kit CU-KB Bullet 3 Land 4-Sneox1-20x-auto light left image +20 perc.-threshold 2-resolution 4-Allison Mark.x3p,KB-Bullet 3-Land 4,50,kr,1,394.13776197444633,1864.6738969435828
houston-test,../conversion/Houston-Rescan/x3p//HTX-Group 1-Kit CU-KB Bullet 3 Land 5-Sneox1-20x-auto light left image +20 perc.-threshold 2-resolution 4-Allison Mark.x3p,KB-Bullet 3-Land 5,50,kr,1,492.4499930540669,1948.8022250984784
houston-test,../conversion/Houston-Rescan/x3p//HTX-Group 1-Kit CU-KB Bullet 3 Land 6-Sneox1-20x-auto light left image +20 perc.-threshold 2-resolution 4-Allison Mark.x3p,KB-Bullet 3-Land 6,50,kr,1,416.5704898529753,1853.1115027554229
houston-test,../conversion/Houston-Rescan/x3p//HTX-Group 1-Kit CU-KC Bullet 1 Land 1-Sneox1-20x-auto light left image +20 perc.-threshold 2-resolution 4-Allison Mark.x3p,KC-Bullet 1-Land 1,50,kr,1,411.9248454726719,1740.347530596348
houston-test,../conversion/Houston-Rescan/x3p//HTX-Group 1-Kit CU-KC Bullet 1 Land 2-Sneox1-20x-auto light left image +20 perc.-threshold 2-resolution 4-Allison Mark.x3p,KC-Bullet 1-Land 2,50,kr,1,361.1755350525656,1809.276092165249
houston-test,../conversion/Houston-Rescan/x3p//HTX-Group 1-Kit CU-KC Bullet 1 Land 3-Sneox1-20x-auto light left image +20 perc.-threshold 2-resolution 4-Allison Mark.x3p,KC-Bullet 1-Land 3,50,kr,1,415.5970791197082,1866.7124514152958
houston-test,../conversion/Houston-Rescan/x3p//HTX-Group 1-Kit CU-KC Bullet 1 Land 4-Sneox1-20x-auto light left image +20 perc.-threshold 2-resolution 4-Allison Mark.x3p,KC-Bullet 1-Land 4,50,kr,1,411.42895704893334,1878.3468056122858
houston-test,../conversion/Houston-Rescan/x3p//HTX-Group 1-Kit CU-KC Bullet 1 Land 5-Sneox1-20x-auto light left image +20 perc.-threshold 2-resolution 4-Allison Mark.x3p,KC-Bullet 1-Land 5,125,kr,1,406.800128452509,1847.4489805562807
houston-test,../conversion/Houston-Rescan/x3p//HTX-Group 1-Kit CU-KC Bullet 1 Land 6-Sneox1-20x-auto light left image +20 perc.-threshold 2-resolution 4-Allison Mark.x3p,KC-Bullet 1-Land 6,50,kr,1,299.5020620104249,1764.5523259471963
houston-test,../conversion/Houston-Rescan/x3p//HTX-Group 1-Kit CU-KC Bullet 2 Land 1-Sneox1-20x-auto light left image +20 perc.-threshold 2-resolution 4-Allison Mark.x3p,KC-Bullet 2-Land 1,50,kr,1,400.0072368358542,1704.8581242497607
houston-test,../conversion/Houston-Rescan/x3p//HTX-Group 1-Kit CU-KC Bullet 2 Land 2-Sneox1-20x-auto light left image +20 perc.-threshold 2-resolution 4-Allison Mark.x3p,KC-Bullet 2-Land 2,50,kr,1,332.0950766831196,1802.817970114912
houston-test,../conversion/Houston-Rescan/x3p//HTX-Group 1-Kit CU-KC Bullet 2 Land 3-Sneox1-20x-auto light left image +20 perc.-threshold 2-resolution 4-Allison Mark.x3p,KC-Bullet 2-Land 3,125,kr,1,446.61450919853036,1783.9067390884416
houston-test,../conversion/Houston-Rescan/x3p//HTX-Group 1-Kit CU-KC Bullet 2 Land 4-Sneox1-20x-auto light left image +20 perc.-threshold 2-resolution 4-Allison Mark.x3p,KC-Bullet 2-Land 4,50,kr,1,333.2261422462342,1799.00014816188
houston-test,../conversion/Houston-Rescan/x3p//HTX-Group 1-Kit CU-KC Bullet 2 Land 5-Sneox1-20x-auto light left image +20 perc.-threshold 2-resolution 4-Allison Mark.x3p,KC-Bullet 2-Land 5,75,kr,1,323.45627605843674,1789.5398521242014
houston-test,../conversion/Houston-Rescan/x3p//HTX-Group 1-Kit CU-KC Bullet 2 Land 6-Sneox1-20x-auto light left image +20 perc.-threshold 2-resolution 4-Allison Mark.x3p,KC-Bullet 2-Land 6,50,kr,1,456.3727432503027,1850.542877001145
houston-test,../conversion/Houston-Rescan/x3p//HTX-Group 1-Kit CU-KC Bullet 3 Land 1-Sneox1-20x-auto light left image +20 perc.-threshold 2-resolution 4-Allison Mark.x3p,KC-Bullet 3-Land 1,50,kr,1,445.94050787802865,1887.292774508956
houston-test,../conversion/Houston-Rescan/x3p//HTX-Group 1-Kit CU-KC Bullet 3 Land 2-Sneox1-20x-auto light left image +20 perc.-threshold 2-resolution 4-Allison Mark.x3p,KC-Bullet 3-Land 2,50,kr,1,386.318322970996,1706.7557074781641
houston-test,../conversion/Houston-Rescan/x3p//HTX-Group 1-Kit CU-KC Bullet 3 Land 3-Sneox1-20x-auto light left image +20 perc.-threshold 2-resolution 4-Allison Mark.x3p,KC-Bullet 3-Land 3,50,kr,1,408.8562099720251,1755.5880002534223
houston-test,../conversion/Houston-Rescan/x3p//HTX-Group 1-Kit CU-KC Bullet 3 Land 4-Sneox1-20x-auto light left image +20 perc.-threshold 2-resolution 4-Allison Mark.x3p,KC-Bullet 3-Land 4,75,kr,1,392.6276839789923,1811.0501615835722
houston-test,../conversion/Houston-Rescan/x3p//HTX-Group 1-Kit CU-KC Bullet 3 Land 5-Sneox1-20x-auto light left image +20 perc.-threshold 2-resolution 4-Allison Mark.x3p,KC-Bullet 3-Land 5,50,kr,1,395.35121056890966,1723.222937053318
houston-test,../conversion/Houston-Rescan/x3p//HTX-Group 1-Kit CU-KC Bullet 3 Land 6-Sneox1-20x-auto light left image +20 perc.-threshold 2-resolution 4-Allison Mark.x3p,KC-Bullet 3-Land 6,50,kr,1,380.5124921669204,1837.766754881308
houston-test,../conversion/Houston-Rescan/x3p//HTX-Group 1-Kit CU-KD Bullet 1 Land 1-Sneox1-20x-auto light left image +20 perc.-threshold 2-resolution 4-Allison Mark.x3p,KD-Bullet 1-Land 1,50,kr,1,407.5384581977285,1780.6133554397625
houston-test,../conversion/Houston-Rescan/x3p//HTX-Group 1-Kit CU-KD Bullet 1 Land 2-Sneox1-20x-auto light left image +20 perc.-threshold 2-resolution 4-Allison Mark.x3p,KD-Bullet 1-Land 2,50,kr,1,417.76666137919716,1874.6160690135368
houston-test,../conversion/Houston-Rescan/x3p//HTX-Group 1-Kit CU-KD Bullet 1 Land 3-Sneox1-20x-auto light left image +20 perc.-threshold 2-resolution 4-Allison Mark.x3p,KD-Bullet 1-Land 3,50,kr,1,233.6442959272884,1704.834720748592
houston-test,../conversion/Houston-Rescan/x3p//HTX-Group 1-Kit CU-KD Bullet 1 Land 4-Sneox1-20x-auto light left image +20 perc.-threshold 2-resolution 4-Allison Mark.x3p,KD-Bullet 1-Land 4,75,kr,1,397.6275265408476,1847.8031776830646
houston-test,../conversion/Houston-Rescan/x3p//HTX-Group 1-Kit CU-KD Bullet 1 Land 5-Sneox1-20x-auto light left image +20 perc.-threshold 2-resolution 4-Allison Mark.x3p,KD-Bullet 1-Land 5,50,kr,1,363.5599845873227,1837.1138991594057
houston-test,../conversion/Houston-Rescan/x3p//HTX-Group 1-Kit CU-KD Bullet 1 Land 6-Sneox1-20x-auto light left image +20 perc.-threshold 2-resolution 4-Allison Mark.x3p,KD-Bullet 1-Land 6,50,kr,1,437.47697298489413,1869.330814312061
houston-test,../conversion/Houston-Rescan/x3p//HTX-Group 1-Kit CU-KD Bullet 2 Land 1-Sneox1-20x-auto light left image +20 perc.-threshold 2-resolution 4-Allison Mark.x3p,KD-Bullet 2-Land 1,50,kr,1,384.67968463719933,1876.9979545877734
houston-test,../conversion/Houston-Rescan/x3p//HTX-Group 1-Kit CU-KD Bullet 2 Land 2-Sneox1-20x-auto light left image +20 perc.-threshold 2-resolution 4-Allison Mark.x3p,KD-Bullet 2-Land 2,50,kr,1,408.7168686938786,1870.0700773494648
houston-test,../conversion/Houston-Rescan/x3p//HTX-Group 1-Kit CU-KD Bullet 2 Land 3-Sneox1-20x-auto light left image +20 perc.-threshold 2-resolution 4-Allison Mark.x3p,KD-Bullet 2-Land 3,50,kr,1,509.86246530717585,1824.9088402233294
houston-test,../conversion/Houston-Rescan/x3p//HTX-Group 1-Kit CU-KD Bullet 2 Land 4-Sneox1-20x-auto light left image +20 perc.-threshold 2-resolution 4-Allison Mark.x3p,KD-Bullet 2-Land 4,50,kr,1,463.47195774393333,1906.7146773846214
houston-test,../conversion/Houston-Rescan/x3p//HTX-Group 1-Kit CU-KD Bullet 2 Land 5-Sneox1-20x-auto light left image +20 perc.-threshold 2-resolution 4-Allison Mark.x3p,KD-Bullet 2-Land 5,100,kr,1,416.51734019066384,1879.1833634363588
houston-test,../conversion/Houston-Rescan/x3p//HTX-Group 1-Kit CU-KD Bullet 2 Land 6-Sneox1-20x-auto light left image +20 perc.-threshold 2-resolution 4-Allison Mark.x3p,KD-Bullet 2-Land 6,50,kr,1,453.05874208924286,1863.2735875741537
houston-test,../conversion/Houston-Rescan/x3p//HTX-Group 1-Kit CU-KD Bullet 3 Land 1-Sneox1-20x-auto light left image +20 perc.-threshold 2-resolution 4-Allison Mark.x3p,KD-Bullet 3-Land 1,250,kr,1,376.65522583031213,1764.794882238185
houston-test,../conversion/Houston-Rescan/x3p//HTX-Group 1-Kit CU-KD Bullet 3 Land 2-Sneox1-20x-auto light left image +20 perc.-threshold 2-resolution 4-Allison Mark.x3p,KD-Bullet 3-Land 2,50,kr,1,424.47367060226816,1886.1453426680987
houston-test,../conversion/Houston-Rescan/x3p//HTX-Group 1-Kit CU-KD Bullet 3 Land 3-Sneox1-20x-auto light left image +20 perc.-threshold 2-resolution 4-Allison Mark.x3p,KD-Bullet 3-Land 3,50,kr,1,463.86143855373166,1731.6846021977922
houston-test,../conversion/Houston-Rescan/x3p//HTX-Group 1-Kit CU-KD Bullet 3 Land 4-Sneox1-20x-auto light left image +20 perc.-threshold 2-resolution 4-Allison Mark.x3p,KD-Bullet 3-Land 4,50,kr,1,442.65357711238244,1832.4516147895713
houston-test,../conversion/Houston-Rescan/x3p//HTX-Group 1-Kit CU-KD Bullet 3 Land 5-Sneox1-20x-auto light left image +20 perc.-threshold 2-resolution 4-Allison Mark.x3p,KD-Bullet 3-Land 5,50,kr,1,360.54375970956164,1811.6968224885445
houston-test,../conversion/Houston-Rescan/x3p//HTX-Group 1-Kit CU-KD Bullet 3 Land 6-Sneox1-20x-auto light left image +20 perc.-threshold 2-resolution 4-Allison Mark.x3p,KD-Bullet 3-Land 6,50,kr,1,443.6026691591188,1930.3817085165717
houston-test,../conversion/Houston-Rescan/x3p//HTX-Group 1-Kit CU-KE Bullet 1 Land 1-Sneox1-20x-auto light left image +20 perc.-threshold 2-resolution 4-Allison Mark.x3p,KE-Bullet 1-Land 1,75,kr,1,380.14646619023983,1666.7386435871394
houston-test,../conversion/Houston-Rescan/x3p//HTX-Group 1-Kit CU-KE Bullet 1 Land 2-Sneox1-20x-auto light left image +20 perc.-threshold 2-resolution 4-Allison Mark.x3p,KE-Bullet 1-Land 2,50,kr,1,419.0870210626041,1858.1808231099558
houston-test,../conversion/Houston-Rescan/x3p//HTX-Group 1-Kit CU-KE Bullet 1 Land 3-Sneox1-20x-auto light left image +20 perc.-threshold 2-resolution 4-Allison Mark.x3p,KE-Bullet 1-Land 3,50,kr,1,404.4046254967101,1852.924012812495
houston-test,../conversion/Houston-Rescan/x3p//HTX-Group 1-Kit CU-KE Bullet 1 Land 4-Sneox1-20x-auto light left image +20 perc.-threshold 2-resolution 4-Allison Mark.x3p,KE-Bullet 1-Land 4,75,kr,1,373.9319564275213,1849.0908927081623
houston-test,../conversion/Houston-Rescan/x3p//HTX-Group 1-Kit CU-KE Bullet 1 Land 5-Sneox1-20x-auto light left image +20 perc.-threshold 2-resolution 4-Allison Mark.x3p,KE-Bullet 1-Land 5,75,kr,1,412.9406389919929,1877.87232612708
houston-test,../conversion/Houston-Rescan/x3p//HTX-Group 1-Kit CU-KE Bullet 1 Land 6-Sneox1-20x-auto light left image +20 perc.-threshold 2-resolution 4-Allison Mark.x3p,KE-Bullet 1-Land 6,50,kr,1,355.00040849698894,1730.188937229104
houston-test,../conversion/Houston-Rescan/x3p//HTX-Group 1-Kit CU-KE Bullet 2 Land 1-Sneox1-20x-auto light left image +20 perc.-threshold 2-resolution 4-Allison Mark.x3p,KE-Bullet 2-Land 1,175,kr,1,365.5414751598409,1834.8909951349463
houston-test,../conversion/Houston-Rescan/x3p//HTX-Group 1-Kit CU-KE Bullet 2 Land 2-Sneox1-20x-auto light left image +20 perc.-threshold 2-resolution 4-Allison Mark.x3p,KE-Bullet 2-Land 2,50,kr,1,269.82849479157414,1726.5038486205806
houston-test,../conversion/Houston-Rescan/x3p//HTX-Group 1-Kit CU-KE Bullet 2 Land 3-Sneox1-20x-auto light left image +20 perc.-threshold 2-resolution 4-Allison Mark.x3p,KE-Bullet 2-Land 3,50,kr,1,357.97682263576144,1820.2422256871864
houston-test,../conversion/Houston-Rescan/x3p//HTX-Group 1-Kit CU-KE Bullet 2 Land 4-Sneox1-20x-auto light left image +20 perc.-threshold 2-resolution 4-Allison Mark.x3p,KE-Bullet 2-Land 4,125,kr,1,374.33861849764367,1833.3190206537436
houston-test,../conversion/Houston-Rescan/x3p//HTX-Group 1-Kit CU-KE Bullet 2 Land 5-Sneox1-20x-auto light left image +20 perc.-threshold 2-resolution 4-Allison Mark.x3p,KE-Bullet 2-Land 5,50,kr,1,406.25054874408147,1835.0417206790885
houston-test,../conversion/Houston-Rescan/x3p//HTX-Group 1-Kit CU-KE Bullet 2 Land 6-Sneox1-20x-auto light left image +20 perc.-threshold 2-resolution 4-Allison Mark.x3p,KE-Bullet 2-Land 6,50,kr,1,470.2469120087851,1931.9431464121076
houston-test,../conversion/Houston-Rescan/x3p//HTX-Group 1-Kit CU-U10-Land 1-Sneox1-20x-auto light left image +20 perc. x10-threshold 2-resolution 4-Connor Hergenreter.x3p,Unknowns-U10-Land 1,150,kr,1,449.5495554120006,1873.633228320009
houston-test,../conversion/Houston-Rescan/x3p//HTX-Group 1-Kit CU-U10-Land 2-Sneox1-20x-auto light left image +20 perc. x10-threshold 2-resolution 4-Connor Hergenreter.x3p,Unknowns-U10-Land 2,250,kr,1,436.4343409428996,1897.5444671550224
houston-test,../conversion/Houston-Rescan/x3p//HTX-Group 1-Kit CU-U10-Land 3-Sneox1-20x-auto light left image +20 perc. x10-threshold 2-resolution 4-Connor Hergenreter.x3p,Unknowns-U10-Land 3,100,kr,1,413.2648102688312,1864.779108804383
houston-test,../conversion/Houston-Rescan/x3p//HTX-Group 1-Kit CU-U10-Land 4-Sneox1-20x-auto light left image +20 perc. x10-threshold 2-resolution 4-Connor Hergenreter.x3p,Unknowns-U10-Land 4,125,kr,1,445.32444046294,1895.4763762448165
houston-test,../conversion/Houston-Rescan/x3p//HTX-Group 1-Kit CU-U10-Land 5-Sneox1-20x-auto light left image +20 perc. x10-threshold 2-resolution 4-Connor Hergenreter.x3p,Unknowns-U10-Land 5,125,kr,1,433.67647679513476,1889.2880273175729
houston-test,../conversion/Houston-Rescan/x3p//HTX-Group 1-Kit CU-U10-Land 6-Sneox1-20x-auto light left image +20 perc. x10-threshold 2-resolution 4-Connor Hergenreter.x3p,Unknowns-U10-Land 6,75,kr,1,480.099484513731,1865.035026344569
houston-test,../conversion/Houston-Rescan/x3p//HTX-Group 1-Kit CU-U15-Land 1-Sneox1-20x-auto light left image +20 perc.-threshold 2-resolution 4-Marco Yepez.x3p,Unknowns-U15-Land 1,250,kr,1,273.24866606841414,1718.9052706006012
houston-test,../conversion/Houston-Rescan/x3p//HTX-Group 1-Kit CU-U15-Land 2-Sneox1-20x-auto light left image +20 perc.-threshold 2-resolution 4-Marco Yepez.x3p,Unknowns-U15-Land 2,200,kr,1,447.96289120372904,1887.7986452387825
houston-test,../conversion/Houston-Rescan/x3p//HTX-Group 1-Kit CU-U15-Land 3-Sneox1-20x-auto light left image +20 perc.-threshold 2-resolution 4-Marco Yepez.x3p,Unknowns-U15-Land 3,175,kr,1,467.61601058035325,1900.1592913116162
houston-test,../conversion/Houston-Rescan/x3p//HTX-Group 1-Kit CU-U15-Land 4-Sneox1-20x-auto light left image +20 perc.-threshold 2-resolution 4-Marco Yepez.x3p,Unknowns-U15-Land 4,200,kr,1,300.7523361801043,1766.4945804524432
houston-test,../conversion/Houston-Rescan/x3p//HTX-Group 1-Kit CU-U15-Land 5-Sneox1-20x-auto light left image +20 perc.-threshold 2-resolution 4-Marco Yepez.x3p,Unknowns-U15-Land 5,275,kr,1,473.021066315338,1909.3355128288479
houston-test,../conversion/Houston-Rescan/x3p//HTX-Group 1-Kit CU-U15-Land 6-Sneox1-20x-auto light left image +20 perc.-threshold 2-resolution 4-Marco Yepez.x3p,Unknowns-U15-Land 6,225,kr,1,435.85807494970277,1919.2805438422397
houston-test,../conversion/Houston-Rescan/x3p//HTX-Group 1-Kit CU-U28-Land 1-Sneox1-20x-auto light left image +20 perc.-threshold 2-resolution 4-Marco Yepez.x3p,Unknowns-U28-Land 1,175,kr,1,386.61647439942647,1812.9099107045975
houston-test,../conversion/Houston-Rescan/x3p//HTX-Group 1-Kit CU-U28-Land 2-Sneox1-20x-auto light left image +20 perc.-threshold 2-resolution 4-Marco Yepez.x3p,Unknowns-U28-Land 2,125,kr,1,524.7716420826988,1982.7369421186352
houston-test,../conversion/Houston-Rescan/x3p//HTX-Group 1-Kit CU-U28-Land 3-Sneox1-20x-auto light left image +20 perc.-threshold 2-resolution 4-Marco Yepez.x3p,Unknowns-U28-Land 3,175,kr,1,476.6564886265019,1887.9457246324166
houston-test,../conversion/Houston-Rescan/x3p//HTX-Group 1-Kit CU-U28-Land 4-Sneox1-20x-auto light left image +20 perc.-threshold 2-resolution 4-Marco Yepez.x3p,Unknowns-U28-Land 4,250,kr,1,519.5038031512023,1866.0069096007758
houston-test,../conversion/Houston-Rescan/x3p//HTX-Group 1-Kit CU-U28-Land 5-Sneox1-20x-auto light left image +20 perc.-threshold 2-resolution 4-Marco Yepez.x3p,Unknowns-U28-Land 5,150,kr,1,463.94841509131777,1709.1318793845883
houston-test,../conversion/Houston-Rescan/x3p//HTX-Group 1-Kit CU-U28-Land 6-Sneox1-20x-auto light left image +20 perc.-threshold 2-resolution 4-Marco Yepez.x3p,Unknowns-U28-Land 6,225,kr,1,502.97378581297386,1849.0597560137517
houston-test,../conversion/Houston-Rescan/x3p//HTX-Group 1-Kit CU-U36-Land 1-Sneox1-20x-auto light left image +20 perc.-threshold 2-resolution 4-Marco Yepez.x3p,Unknowns-U36-Land 1,175,kr,1,406.76100489361255,1869.9068406975653
houston-test,../conversion/Houston-Rescan/x3p//HTX-Group 1-Kit CU-U36-Land 2-Sneox1-20x-auto light left image +20 perc.-threshold 2-resolution 4-Marco Yepez.x3p,Unknowns-U36-Land 2,225,kr,1,330.4407775342915,1866.0264519549464
